"ID";"NominationYear";"Name";"Author";"PubYear";"AgeLimit";"PublishingHouse";"LitPrizeName";"Nomination";"global_id";
"Êîä";"Ãîä íîìèíèðîâàíèÿ";"Íàèìåíîâàíèå";"Àâòîð";"Ãîä èçäàíèÿ";"Âîçðàñòíîå îãðàíè÷åíèå";"Èçäàòåëüñòâî";"Íàèìåíîâàíèå ëèòåðàòóðíîé ïðåìèè";"Íîìèíàöèÿ";"global_id";
"22";"2017";"Êîíñòðóèðîâàíèå ÿçûêîâ. Îò ýñïåðàíòî äî äîòðàêèéñêîãî";"Àëåêñàíäð ×åäîâè÷ Ïèïåðñêè";"2017";"18+";"Àëüïèíà íîí-ôèêøí";"Ïðîñâåòèòåëü";"Ãóìàíèòàðíûå íàóêè";"881370280";
"23";"2017";"Èçîáðåòåíî â Ðîññèè. Èñòîðèÿ ðóññêîé èçîáðåòàòåëüñêîé ìûñëè îò Ïåòðà I äî Íèêîëàÿ II";"Òèì Þðüåâè÷ Ñêîðåíêî";"2017";"18+";"Àëüïèíà íîí-ôèêøí";"Ïðîñâåòèòåëü";"Øîðò-ëèñò";"881370309";
"24";"2017";"Ñâèäàíèå ñ Êâàçèìîäî";"Àëåêñàíäð Ìåëèõîâ";"2016";"18+";"Ýêñìî";"Ðóññêèé áóêåð";"Øîðò-ëèñò";"881370350";
"25";"2017";"Ãîëîìÿíîå ïëàìÿ";"Äìèòðèé Íîâèêîâ";"2017";"18+";"ÀÑÒ";"Ðóññêèé áóêåð";"Øîðò-ëèñò";"881370369";
"26";"2016";"Óäàëèòü ýòó çàïèñü?";"Ëàðèñà Ðîìàíîâñêàÿ";"2017";"12+";"Ñàìîêàò";"Êíèãóðó";"3 ìåñòî";"881370384";
"27";"2017";"Áðàò-þííàò";"Ñòàíèñëàâ Âëàäèìèðîâè÷ Âîñòîêîâ";"2017";"6+";"Áåëàÿ âîðîíà";"Êíèãóðó";"3 ìåñòî";"881370394";
"28";"2017";"Ïðàâèëî 69 äëÿ òîëñòîé ÷àéêè";"Äàðüÿ Âàðäåíáóðã";"2017";"12+";"Ñàìîêàò";"Ìåæäóíàðîäíàÿ äåòñêàÿ ëèòåðàòóðíàÿ ïðåìèÿ èìåíè Â.Ï.Êðàïèâèíà";"Ëàóðåàò";"881370431";
"29";"2017";"Âîðîí";"Åâãåíèé Ðóäàøåâñêèé";"2017";"12+";"ÊîìïàñÃèä";"Ìåæäóíàðîäíàÿ äåòñêàÿ ëèòåðàòóðíàÿ ïðåìèÿ èìåíè Â.Ï.Êðàïèâèíà";"Ëàóðåàò";"881370452";
"30";"2016";"Ôåÿ Áîðèñà Ëàðèñîâíà";"Òàòüÿíà Ðóñàêîâà";"2017";"5+";"Ðîñìýí";"Íîâàÿ äåòñêàÿ êíèãà";"Âíåêëàññíûå èñòîðèè";"881370462";
"31";"2016";"Ìàêàáð. Èãðà â ñóìåðêàõ";"Ìèëà Íîêñ";"2017";"12+";"Ðîñìýí";"Íîâàÿ äåòñêàÿ êíèãà";"Ìèð ôýíòåçè";"881370479";
"32";"2016";"Ìèðîèñêàòåëè. Ïàóòèíà Ñòàðîãî Ãîðîäà";"Àëåê Âîëüñêèõ";"2017";"12+";"Ðîñìýí";"Íîâàÿ äåòñêàÿ êíèãà";"Âûáîð Terra Incognita";"881370495";
"33";"2017";"Òåêñò";"Äìèòðèé Àëåêñååâè÷ Ãëóõîâñêèé";"2017";"18+";"ÀÑÒ";"ÍÎÑ";"Øîðò-ëèñò";"881370509";
"34";"2017";"Ìàíàðàãà";"Âëàäèìèð Ñîðîêèí";"2017";"18+";"ÀÑÒ";"ÍÎÑ";"Øîðò-ëèñò";"881376449";
"35";"2017";"Ãîëîâàñòèê è ñâÿòûå";"Àíäðåé Ôèëèìîíîâ";"2017";"18+";"Ðèïîë Êëàññèê";"ÍÎÑ";"Øîðò-ëèñò";"881376478";
"36";"2017";"iPhuck 10";"Âèêòîð Îëåãîâè÷ Ïåëåâèí";"2017";"18+";"Ýêñìî";"Ïðåìèÿ À. Áåëîãî";"Øîðò-ëèñò";"881376490";
"37";"2017";"Àíàòîìèÿ àðõèòåêòóðû. Ñåìü êíèã î ëîãèêå, ôîðìå è ñìûñëå";"Ñåðãåé Êàâòàðàäçå";"2017";"18+";"ÂØÝ";"Ïðåìèÿ À. Áåëîãî";"Øîðò-ëèñò";"881376496";
"38";"2017";"Íîâàÿ ìîäåëü ðåàëüíîñòè";"Âàäèì Ðóäíåâ";"2016";"18+";"ÂØÝ";"Ïðåìèÿ À. Áåëîãî";"Øîðò-ëèñò";"881376512";
"39";"2017";"Ðîäèíà";"Åëåíà Äîëãîïÿò";"2016";"18+";"Ðèïîë Êëàññèê";"Íàöèîíàëüíûé áåñòñåëëåð";"Øîðò-ëèñò";"881376515";
"40";"2017";"Âîò è õîðîøî!";"Êèðà Ñòðåëüíèêîâà";"2016";"6+";"Íàñòÿ è Íèêèòà";"Ëèòåðàòóðíàÿ ïðåìèÿ èìåíè Ñ.Ìàðøàêà";"Äåáþò";"881376516";
"41";"2017";"Ñîëíöå íà äîðîãå";"Àíäðåé Ìàêñèìîâ";"2017";"12+";"Äåòñêàÿ ëèòåðàòóðà";"Ìåæäóíàðîäíûé êîíêóðñ èì. Ñ. Ìèõàëêîâà";"3 ìåñòî";"881376517";
"42";"2016";"Çèìíÿÿ äîðîãà";"Ëåîíèä Àáðàìîâè÷ Þçåôîâè÷";"2016";"18+";"ÀÑÒ";"Áîëüøàÿ êíèãà";"1 ìåñòî";"881376519";
"43";"2016";"Êðåïîñòü";"Ïåòð Ìàðêîâè÷ Àëåøêîâñêèé";"2015";"18+";"ÀÑÒ";"Ðóññêèé áóêåð";"Ëàóðåàò";"881376526";
"44";"2016";"Àâèàòîð";"Âîäîëàçêèí Åâãåíèé Ãåðìàíîâè÷";"2016";"16+";"ÀÑÒ";"Áîëüøàÿ êíèãà";"2 ìåñòî";"881376534";
"45";"2016";"Ñ íåáà óïàëè òðè ÿáëîêà";"Àáãàðÿí Íàðèíý Þðüåâíà";"2015";"16+";"ÀÑÒ";"ßñíàÿ ïîëÿíà";"Ñîâðåìåííàÿ ðóññêàÿ ïðîçà";"881376536";
"46";"2016";"Ïîêëîíåíèå âîëõâîâ";"Ñóõáàò Àôëàòóíè";"2016";"16+";"Ðèïîë Êëàññèê";"ßñíàÿ ïîëÿíà";"Øîðò-ëèñò";"881376539";
"47";"2016";"Ãðàíàòîâûé îñòðîâ";"Âëàäèìèð Ýéñíåð";"2015";"18+";"Íàïèñàíî ïåðîì";"ßñíàÿ ïîëÿíà";"Øîðò-ëèñò";"881376545";
"48";"2016";"Ìÿãêàÿ òêàíü. Êíèãà âòîðàÿ: Ñóêíî";"Áîðèñ Äîðèàíîâè÷ Ìèíàåâ";"2016";"18+";"Âðåìÿ";"ßñíàÿ ïîëÿíà";"Øîðò-ëèñò";"881376547";
"49";"2016";"Ìÿãêàÿ òêàíü. Êíèãà ïåðâàÿ: Áàòèñò";"Áîðèñ Äîðèàíîâè÷ Ìèíàåâ";"2015";"18+";"Âðåìÿ";"ßñíàÿ ïîëÿíà";"Øîðò-ëèñò";"881376548";
"50";"2016";"Ìîè ñòðàííûå ìûñëè";"Ïàìóê Îðõàí";"2016";"18+";"Àçáóêà";"ßñíàÿ ïîëÿíà";"Èíîñòðàííàÿ ëèòåðàòóðà";"881376549";
"51";"2016";"Òû, ãëàâíîå, ïèøè î ëþáâè";"Ìîñêâèíà Ìàðèíà Ëüâîâíà Ãîâîðîâà Þëèÿ";"2016";"12+";"Ãàÿòðè";"ßñíàÿ ïîëÿíà";"Øîðò-ëèñò";"881376562";
"52";"2016";"Ëåñíèê è åãî íèìôà";"Ìàðèíà Íåôåäîâà";"2016";"12+";"Íèêåÿ";"ßñíàÿ ïîëÿíà";"Äåòñòâî. Îòðî÷åñòâî. Þíîñòü.";"881376594";
"53";"2016";"Äåòè âîðîíà";"Þëèÿ ßêîâëåâà";"2016";"12+";"Ñàìîêàò";"ßñíàÿ ïîëÿíà";"Øîðò-ëèñò";"881376630";
"54";"2016";"Ëþäè àâãóñòà";"Ñåðãåé Ñåðãååâè÷ Ëåáåäåâ";"2015";"18+";"Àëüïèíà Ïàáëèøåð";"Ðóññêèé áóêåð";"Øîðò-ëèñò";"881376654";
"55";"2016";"È íåò èì âîçäàÿíèÿ";"Àëåêñàíäð Ìîòåëåâè÷ Ìåëèõîâ";"2015";"18+";"Ýêñìî";"Ðóññêèé áóêåð";"Øîðò-ëèñò";"881376676";
"56";"2016";"Ïåñíè äðàêîíîâ. Ëþáîâü è ïðèêëþ÷åíèÿ â ìèðå êðîêîäèëîâ è ïðî÷èõ äèíîçàâðîâûõ ðîäñòâåííèêîâ";"Âëàäèìèð Ëåîíèäîâè÷ Äèíåö";"2015";"18+";"ÀÑÒ";"Áîëüøàÿ êíèãà";"Øîðò-ëèñò";"881376699";
"57";"2016";"Ââåäåíèå â ïîâåäåíèå";"Áîðèñ Áîðèñîâè÷ Æóêîâ";"2016";"18+";"ÀÑÒ";"Ïðîñâåòèòåëü";"Øîðò-ëèñò";"881376707";
"58";"2016";"Ñóììà áèîòåõíîëîãèè";"Àëåêñàíäð Ïàí÷èí";"2015";"18+";"ÀÑÒ";"Ïðîñâåòèòåëü";"Åñòåñòâåííûå è òî÷íûå íàóêè";"881376715";
"59";"2016";"×òî òàêîå Àôðèêà";"Êèðèëë Âëàäèìèðîâè÷ Áàáàåâ Àëåêñàíäðà Àëåêñàíäðîâíà Àðõàíãåëüñêàÿ";"2015";"16+";"Ðèïîë Êëàññèê";"Ïðîñâåòèòåëü";"Øîðò-ëèñò";"881376759";
"60";"2016";"Àíàòîìèÿ àðõèòåêòóðû. Ñåìü êíèã î ëîãèêå, ôîðìå è ñìûñëå";"Ñåðãåé Êàâòàðàäçå";"2016";"18+";"Èçäàòåëüñêèé Äîì ÂØÝ";"Ïðîñâåòèòåëü";"Ãóìàíèòàðíûå íàóêè";"881376781";
"61";"2016";"Ìóæ÷èíà è Æåíùèíà: òåëî, ìîäà, êóëüòóðà. ÑÑÑÐ – Îòòåïåëü";"Íàòàëèÿ Áîðèñîâíà Ëåáèíà";"2014";"18+";"Íîâîå ëèòåðàòóðíîå îáîçðåíèå";"Ïðîñâåòèòåëü";"Øîðò-ëèñò";"881376798";
"62";"2016";"Ïîÿâëåíèå ãåðîÿ. Èç èñòîðèè ðóññêîé ýìîöèîíàëüíîé êóëüòóðû êîíöà XVIII – íà÷àëà XIX âåêà";"Àíäðåé Ëåîíèäîâè÷ Çîðèí";"2016";"18+";"Íîâîå ëèòåðàòóðíîå îáîçðåíèå";"Ïðîñâåòèòåëü";"Ëîíã-ëèñò";"881376824";
"63";"2016";"Íåíàñòüå";"Àëåêñåé Èâàíîâ";"2015";"18+";"ÀÑÒ";"Êíèãà ãîäà";"Ïðîçà";"881376854";
"64";"2016";"Ðàññêàçû î æèâîòíûõ";"Ñåðãåé Ñîëîóõ";"2016";"18+";"Âðåìÿ";"Áîëüøàÿ êíèãà";"Øîðò-ëèñò";"881376872";
"65";"2016";"Òðàâëÿ";"Ñàøà Ôèëèïåíêî";"2016";"18+";"Âðåìÿ";"Áîëüøàÿ êíèãà";"Øîðò-ëèñò";"881378748";
"66";"2016";"×àøêà ïî-àíãëèéñêè";"Ãðèãîðèé Ìèõàéëîâè÷ Êðóæêîâ";"2016";"6+";"Íèãìà";"Êíèãà ãîäà";"Âìåñòå ñ êíèãîé ìû ðàñò¸ì";"881379726";
"67";"2018";"Ïàìÿòè ïàìÿòè";"Ìàðèÿ Ñòåïàíîâà";"2017";"18+";"Íîâîå èçäàòåëüñòâà";"Áîëüøàÿ êíèãà è Ëèòåðàòóðíàÿ ïðåìèÿ ÍÎÑ (íîâàÿ ñëîâåñíîñòü)";"Çà ëó÷øåå ïðîçàè÷åñêîå ïðîèçâåäåíèå áîëüøîé ôîðìû - 1 ïðåìèÿ";"919204439";
"68";"2018";"Áþðî ïðîâåðêè";"Àëåêñàíäð Àðõàíãåëüñêèé";"2018";"18+";"ÀÑÒ";"Áîëüøàÿ êíèãà";"Çà ëó÷øåå ïðîçàè÷åñêîå ïðîèçâåäåíèå áîëüøîé ôîðìû - 2 ïðåìèÿ";"919204441";
"69";"2018";"Èþíü";"Äìèòðèé Áûêîâ";"2018";"18+";"ÀÑÒ";"Áîëüøàÿ êíèãà";"Çà ëó÷øåå ïðîçàè÷åñêîå ïðîèçâåäåíèå áîëüøîé ôîðìû - 3 ïðåìèÿ";"919204442";
"70";"2018";"Òåàòð îò÷àÿíèÿ. Îò÷àÿííûé òåàòð";"Åâãåíèé Ãðèøêîâåö";"2018";"18+";"ÊîËèáðè. Àçáóêà Àòòèêóñ";"Áîëüøàÿ êíèãà";"Ôèíàëèñò. Êîðîòêèé ñïèñîê";"919204542";
"71";"2018";"Ðàäóãà è âåðåñê";"Îëåã Åðìàêîâ";"2018";"16+";"Âðåìÿ";"Áîëüøàÿ êíèãà";"Ôèíàëèñò. Êîðîòêèé ñïèñîê";"919204672";
"72";"2018";"Ðåöåïòû ñîòâîðåíèÿ ìèðà. Îò Ïàðèæà äî Ñèáèðè ÷åðåç âåñü ÕÕ âåê";"Àíäðåé Ôèëèìîíîâ";"2018";"18+";"ÀÑÒ";"Áîëüøàÿ êíèãà";"Ôèíàëèñò. Êîðîòêèé ñïèñîê";"919204766";
"73";"2018";"Ìóëüòèìåäèéíàÿ æóðíàëèñòèêà. Ó÷åáíèê äëÿ âóçîâ";"Àííà Êà÷êàåâà Ñâåòëàíà Øîìîâà Àíäðåé Ìèðîøíè÷åíêî";"2018";"0+";"Âûñøàÿ øêîëà ýêîíîìèêè";"Êíèãà ãîäà";"Ó÷åáíèê ÕÕ1 âåêà. Ïîáåäèòåëü";"919204943";
"74";"2018";"Òåðåìîê. Ãðàôè÷åñêàÿ èñòîðèÿ";"Èãîðü Îëåéíèêîâ";"2018";"16+";"Ìàíí, Èâàíîâ è Ôåðáåð";"Êíèãà ãîäà";"Âìåñòå ñ êíèãîé ìû ðàñòåì. Ïîáåäèòåëü";"919204944";
"75";"2018";"Ïðûæîê â äëèíó";"Îëüãà Ñëàâíèêîâà";"2018";"16+";"ÀÑÒ";"Êíèãà ãîäà è ßñíàÿ ïîëÿíà";"Ïðîçà ãîäà. Ñîâðåìåííàÿ ðóññêàÿ ïðîçà. Ïîáåäèòåëü";"919204957";
"76";"2018";"Èñòîðèÿ Êðûìà";"";"2017";"0+";"Èíñòèòóò ðîññèéñêîé èñòîðèè";"Êíèãà ãîäà";"Humanitas. Ïîáåäèòåëü";"919206405";
"77";"2018";"Íàðèñîâàííàÿ Ìîñêâà";"Àëåíà Äåðãèëåâà";"2017";"0+";"Êîíòàêò-êóëüòóðà";"Êíèãà ãîäà";"Àðò-êíèãà. Ïîáåäèòåëü";"919206407";
"78";"2018";"Ìÿ÷ â èãðå";"Àëåêñåé Äóðíîâî";"2018";"6+";"Áåëàÿ âîðîíà";"Êíèãà ãîäà";"Êíèãà è ôóòáîë. Ïîáåäèòåëü";"919206418";
"79";"2018";"Ñìåðòü Àðòóðà";"Ñýð Òîìàñ Ìýëîðè";"2018";"0+";"Îêòîïóñ";"Êíèãà ãîäà";"Èñêóññòâî êíèãîïå÷àòàíèÿ. Ïîáåäèòåëü";"919206574";
"80";"2018";"Èóäà";"Àìîñ Îç";"2017";"16+";"Ôàíòîì Ïðåññ";"ßñíàÿ ïîëÿíà";"Èíîñòðàííàÿ ëèòåðàòóðà. Ïîáåäèòåëü";"919207255";
"81";"2018";"Ïðàçäíèê ëèøíèõ îðëîâ";"Àëåêñàíäð Áóøêîâñêèé";"2017";"18+";"Ðèïîë êëàññèê";"ßñíàÿ ïîëÿíà";"Ôèíàëèñò. Êîðîòêèé ñïèñîê";"919209400";
"82";"2018";"Ïåòðîâû â ãðèïïå è âîêðóã íåãî";"Àëåêñåé Ñàëüíèêîâ";"2018";"18+";"ÀÑÒ";"Íàöèîíàëüíûé áåñòñåëëåð";"Ïðîçàè÷åñêîå ïðîèçâåäåíèå, îáëàäàþùåãî íåäîðåàëèçîâàííûì ïîòåíöèàëîì «èíòåëëåêòóàëüíîãî áåñòñåëëåðà». Ëàóðåàò.";"919209449";
"83";"2018";"Áûëà áû äî÷ü Àíàñòàñèÿ";"Âàñèëèé Àêñåíîâ";"2018";"16+";"Ëèìáóñ ïðåññ";"Íàöèîíàëüíûé áåñòñåëëåð";"Ôèíàëèñò. Êîðîòêèé ñïèñîê";"919209471";
"85";"2018";"Ïîñìîòðè íà íåãî";"Àííà Ñòàðîáèíåö";"2017";"16+";"Corpus (ÀÑÒ)";"Íàöèîíàëüíûé áåñòñåëëåð";"Ôèíàëèñò. Êîðîòêèé ñïèñîê";"919214913";
"86";"2018";"Ìàíàðàãà";"Âëàäèìèð Ñîðîêèí";"2017";"18+";"Corpus (ÀÑÒ)";"ÍÎÑ (Íîâàÿ ñëîâåñíîñòü)";"Íîâûå òðåíäû â ñîâðåìåííîé õóäîæåñòâåííîé ñëîâåñíîñòè íà ðóññêîì ÿçûêå. Ïîáåäèòåëü";"919214916";
"87";"2018";"Ïðåäàòåëü àäà";"Ïàâåë Ïåïïåðøòåéí";"2018";"18+";"ÍËÎ";"Ïðåìèÿ Àíäðåÿ Áåëîãî";"Ïðîçà. Ïîáåäèòåëü";"919214917";
"88";"2018";"Æåëàíèå èñ÷åçíóòü";"Êîíñòàíòèí Êóïðèÿíîâ";"2018";"18+";"Èçäàòåëüñêèå ðåøåíèÿ";"Ëèöåé";"Ïðîçà. 1 ìåñòî";"919214976";
"89";"2018";"Ëîæü Ãàìëåòà";"Èãîðü Ñàâåëüåâ";"2018";"18+";"Èçäàòåëüñêèå ðåøåíèÿ";"Ëèöåé";"Ïðîçà. 2 ìåñòî";"919214992";
"90";"2018";"Äèñòèìèÿ";"Áóëàò Õàíîâ";"2018";"18+";"Èçäàòåëüñêèå ðåøåíèÿ";"Ëèöåé";"Ïðîçà. 3 ìåñòî";"919214993";
"94";"2018";"Îò àòîìîâ ê äðåâó: Ââåäåíèå â ñîâðåìåííóþ íàóêó î æèçíè";"Ñåðãåé ßñòðåáîâ";"2018";"12+";"Àëüïèíà íîí-ôèêøí";"Ïðîñâåòèòåëü";"Åñòåñòâåííûå è òî÷íûå íàóêè. Ïîáåäèòåëü";"919216580";
"95";"2018";"Ñòðàäàþùåå ñðåäíåâåêîâüå";"Ñåðãåé Çîòîâ Ìèõàèë Ìàéçóëüñ Äèëüøàòà Õàðìàí";"2018";"16+";"ÀÑÒ";"Ïðîñâåòèòåëü";"Ãóìàíèòàðíûå íàóêè. Ïîáåäèòåëü";"919216581";
"96";"2018";"Áàéêè èç ãðîòà: 50 èñòîðèé èç æèçíè äðåâíèõ ëþäåé";"Ñòàíèñëàâ Äðîáûøåâñêèé";"2018";"12+";"Àëüïèíà íîí-ôèêøí";"Ïðîñâåòèòåëü";"Ôèíàëèñò. Êîðîòêèé ñïèñîê";"919216582";
"97";"2018";"Íåñîâðåìåííàÿ ñòðàíà. Ðîññèÿ â ìèðå ÕÕI âåêà";"Âëàäèñëàâ Èíîçåìöåâ";"2018";"16+";"Àëüïèíà Ïàáëèøåð";"Ïðîñâåòèòåëü";"Ôèíàëèñò. Êîðîòêèé ñïèñîê";"919216690";
"98";"2018";"1917. Ñåìíàäöàòü î÷åðêîâ ïî èñòîðèè ðîññèéñêîé ðåâîëþöèè";"Áîðèñ Êîëîíèöêèé";"2017";"16+";"Èçäàòåëüñòâî Åâðîïåéñêîãî óíèâåðñèòåòà â Ñàíêò-Ïåòåðáóðãå";"Ïðîñâåòèòåëü";"Ôèíàëèñò. Êîðîòêèé ñïèñîê";"919216692";
"99";"2018";"Ìàòåìàòèêà äëÿ ãóìàíèòàðèåâ. Æèâûå ëåêöèè";"Àëåêñåé Ñàââàòååâ";"2018";"0+";"Óíèâåðñèòåò Äìèòðèÿ Ïîæàðñêîãî";"Ïðîñâåòèòåëü";"Ôèíàëèñò. Êîðîòêèé ñïèñîê";"919216694";
"100";"2018";"Êàâêàçñêàÿ âîéíà. Ñåìü èñòîðèé";"Àìèðàí Óðóøàäçå";"2018";"16+";"ÍËÎ";"Ïðîñâåòèòåëü";"Ôèíàëèñò. Êîðîòêèé ñïèñîê";"919216696";
"101";"2018";"Âîëÿ è ñàìîêîíòðîëü. Êàê ãåíû è ìîçã ìåøàþò íàì áîðîòüñÿ ñ ñîáëàçíàìè";"Èðèíà ßêóòåíêî";"2018";"12+";"Àëüïèíà íîí-ôèêøí";"Ïðîñâåòèòåëü";"Ôèíàëèñò. Êîðîòêèé ñïèñîê";"919216697";
"102";"2018";"Òåîðèÿ íåâåðîÿòíîñòåé";"Âèêòîðèÿ Ëåäåðìàí";"2018";"6+";"ÊîìïàñÃèä";"ÊÍÈÃÓÐÓ";"Ëó÷øåå ïðîèçâåäåíèå äëÿ äåòåé è þíîøåñòâà. 2 ìåñòî";"919216698";
"91";"2018";"Ëèöåé 2018. Íîìèíàöèÿ «Ïîýçèÿ»";"Àíäðåé Ôàìèöêèé";"2018";"18+";"Èçäàòåëüñêèå ðåøåíèÿ";"Ëèöåé";"Ïîýçèÿ. 1 ìåñòî";"919216700";
"92";"2018";"Ëèöåé 2018. Íîìèíàöèÿ «Ïîýçèÿ»";"Åëåíà Æàìáàëîâà";"2018";"18+";"Èçäàòåëüñêèå ðåøåíèÿ";"Ëèöåé";"Ïîýçèÿ. 2 ìåñòî";"919216701";
"93";"2018";"Ëèöåé 2018. Íîìèíàöèÿ «Ïîýçèÿ»";"Ñîôüÿ Ñåðåáðÿêîâà";"2018";"18+";"Èçäàòåëüñêèå ðåøåíèÿ";"Ëèöåé";"Ïîýçèÿ. 3 ìåñòî";"919216702";
"103";"2019";"Ôèíèñò - ÿñíûé ñîêîë";"Ðóáàíîâ Àíäðåé Âèêòîðîâè÷";"2019";"18+";"ÀÑÒ";"Íàöèîíàëüíûé áåñòñåëëåð";"Ëàóðåàò";"1035304875";
"104";"2019";"ß áóäó âñåãäà ñ òîáîé";"Åòîåâ Àëåêñàíäð Âàñèëüåâè÷";"2019";"16+";"Àçáóêà";"Íàöèîíàëüíûé áåñòñåëëåð";"Íîìèíàíò";"1035304877";
"105";"2019";"×åòâåðî";"Ïåëåâèí Àëåêñàíäð Ñåðãååâè÷";"2018";"16+";"Ïÿòûé Ðèì";"Íàöèîíàëüíûé áåñòñåëëåð";"Íîìèíàíò";"1035304879";
"106";"2019";"XX âåê ïðåäñòàâëÿåò. Êàäðû è êàäàâðû";"Òðîôèìåíêîâ Ìèõàèë Ñåðãååâè÷";"2018";"18+";"Ôëþèä";"Íàöèîíàëüíûé áåñòñåëëåð";"Íîìèíàíò";"1035304931";
"107";"2019";"Êàëå÷èíà-Ìàëå÷èíà";"Åâãåíèÿ Íåêðàñîâà";"2018";"18+";"ÀÑÒ";"Íàöèîíàëüíûé áåñòñåëëåð";"Íîìèíàíò";"1035304939";
"108";"2019";"Ñëàâÿíñêèå îòàêó";"Óïûðü Ëèõîé";"2018";"18+";"Ôëþèä";"Íàöèîíàëüíûé áåñòñåëëåð";"Íîìèíàíò";"1035304945";
"109";"2019";"Ïåðåãîâîðû ñ ìîíñòðàìè. Êàê äîãîâîðèòüñÿ ñ ñèëüíûìè ìèðà ñåãî";"Ðûçîâ Èãîðü Ðîìàíîâè÷";"2018";"12+";"Áîìáîðà";"Äåëîâàÿ êíèãà ãîäà â Ðîññèè";"Ëàóðåàò íîìèíàöèè «Ëó÷øàÿ êíèãà ðîññèéñêîãî àâòîðà»";"1035304950";
"110";"2019";"Ðèñêóÿ ñîáñòâåííîé øêóðîé. Ñêðûòàÿ àñèììåòðèÿ ïîâñåäíåâíîé æèçíè";"Òàëåá Íàññèì Íèêîëàñ";"2018";"18+";"ÊîËèáðè";"Äåëîâàÿ êíèãà ãîäà â Ðîññèè";"Ëàóðåàò íîìèíàöèè «Ëó÷øàÿ êíèãà çàðóáåæíîãî àâòîðà, èçäàííàÿ â Ðîññèè»";"1035304956";
"111";"2019";"Âåíåäèêò Åðîôååâ: ïîñòîðîííèé";"Ëåêìàíîâ Îëåã Àíäåðøàíîâè÷ Ñâåðäëîâ Ìèõàèë Èãîðåâè÷ Ñèìàíîâñêèé Èëüÿ Ãðèãîðüåâè÷";"2019";"18+";"ÀÑÒ";"Áîëüøàÿ êíèãà";"Ëàóðåàò";"1035304979";
"112";"2019";"Äíè Ñàâåëèÿ";"Ãðèãîðèé Ñëóæèòåëü";"2019";"16+";"ÀÑÒ";"Áîëüøàÿ êíèãà";"Ëàóðåàò";"1035304982";
"113";"2019";"Äåòè ìîè";"Ãóçåëü ßõèíà";"2019";"16+";"ÀÑÒ";"Áîëüøàÿ êíèãà";"Ëàóðåàò";"1035304990";
"114";"2019";"Îïîñðåäîâàííî";"Ñàëüíèêîâ Àëåêñåé Áîðèñîâè÷";"2019";"18+";"ÀÑÒ";"Áîëüøàÿ êíèãà";"Íîìèíàíò";"1035304994";
"115";"2019";"Æèçíü À.Ã.";"Ñòàâåöêèé Âÿ÷åñëàâ Âèêòîðîâè÷";"2019";"16+";"ÀÑÒ";"Áîëüøàÿ êíèãà";"Íîìèíàíò";"1035304996";
"116";"2019";"Áðèñáåí";"Âîäîëàçêèí Åâãåíèé Ãåðìàíîâè÷";"2019";"16+";"ÀÑÒ";"Áîëüøàÿ êíèãà";"Íîìèíàíò";"1035305003";
"117";"2019";"Ñîáàêè Åâðîïû";"Áàõàðåâè÷ Îëüãåðä Èâàíîâè÷";"2019";"18+";"Âðåìÿ";"Áîëüøàÿ êíèãà";"Íîìèíàíò";"1035305110";
"118";"2019";"Ðàé çåìíîé";"Ñóõáàò Àôëàòóíè";"2019";"16+";"Ýêñìî";"Áîëüøàÿ êíèãà";"Íîìèíàíò";"1035305120";
"119";"2019";"Äîæäü â Ïàðèæå";"Ñåí÷èí Ðîìàí Âàëåðüåâè÷";"2018";"16+";"ÀÑÒ";"Áîëüøàÿ êíèãà";"Íîìèíàíò";"1035305945";
"120";"2019";"Âñå, ñïîñîáíûå äûøàòü äûõàíèå";"Ëèíîð Ãîðàëèê";"2018";"18+";"ÀÑÒ";"Áîëüøàÿ êíèãà";"Íîìèíàíò";"1035305949";
"121";"2019";"Äåðæàòüñÿ çà çåìëþ";"Ñàìñîíîâ Ñåðãåé Àíàòîëüåâè÷";"2018";"18+";"Ïàëüìèðà";"ßñíàÿ ïîëÿíà";"Ëàóðåàò íîìèíàöèè «Ñîâðåìåííàÿ ðóññêàÿ ïðîçà»";"1035305953";
"122";"2019";"Äîðîãà íà Àñòàïîâî";"Áåðåçèí Âëàäèìèð Ñåðãååâè÷";"2018";"18+";"ÀÑÒ";"ßñíàÿ ïîëÿíà";"Íîìèíàöèÿ «Ñîâðåìåííàÿ ðóññêàÿ ïðîçà»";"1035305955";
"123";"2019";"Íåáåñíûé ïî÷òàëüîí Ôåäÿ Áóëêèí";"Íèêîëàåíêî Àëåêñàíäðà Âàäèìîâíà";"2019";"16+";"ÀÑÒ";"ßñíàÿ ïîëÿíà";"Íîìèíàöèÿ «Ñîâðåìåííàÿ ðóññêàÿ ïðîçà»";"1035305957";
"124";"2019";"Èñêóññòâî âîñêðåøåíèÿ";"Ëåòåëüåð Ýðíàí Ðèâåðà";"2017";"16+";"Èçäàòåëüñòâî Èâàíà Ëèìáàõà";"ßñíàÿ ïîëÿíà";"Ëàóðåàò íîìèíàöèè «Èíîñòðàííàÿ ëèòåðàòóðà»";"1035305962";
"125";"2019";"Îäíà èñòîðèÿ";"Äæóëèàí Áàðíñ";"2018";"16+";"Àçáóêà";"ßñíàÿ ïîëÿíà";"Íîìèíàöèÿ «Èíîñòðàííàÿ ëèòåðàòóðà»";"1035305965";
