"ID";"NominationYear";"Name";"Author";"PubYear";"AgeLimit";"PublishingHouse";"LitPrizeName";"Nomination";"global_id";
"Êîä";"Ãîä íîìèíèðîâàíèÿ";"Íàèìåíîâàíèå";"Àâòîð";"Ãîä èçäàíèÿ";"Âîçðàñòíîå îãðàíè÷åíèå";"Èçäàòåëüñòâî";"Íàèìåíîâàíèå ëèòåðàòóðíîé ïðåìèè";"Íîìèíàöèÿ";"global_id";
"276";"2021";"Ëÿãóøîíîê ïîä âèøíåé. 20 êèòàéñêèõ ïîñëîâèö è ïîãîâîðîê";"Ìèõàèë ßñíîâ";"2021";"6+";"Íèãìà";"Êíèãà ãîäà";"Äåòÿì";"2391862759";
"277";"2021";"Ñàìîâàð è êîôåâàðêà. 34 ïàðû èòàëüÿíñêèõ è ðóññêèõ ïîñëîâèö";"Ìàðèÿ Ãîéõìàí Âàëåðèé Êîçëîâ";"2018";"6+";"Íèãìà";"Êíèãà ãîäà";"Äåòÿì";"2391862768";
"278";"2021";"Ó âñÿêîé ïòàøêè ñâîè çàìàøêè. 25 ðóññêèõ ïîñëîâèö è ïîãîâîðîê";"Ìèõàèë ßñíîâ";"2020";"0+";"Íèãìà";"Êíèãà ãîäà";"Äåòÿì";"2391862779";
"279";"2021";"×åãî íå áûâàåò? ×åìó íå áûâàòü? 23 ôðàíöóçñêèå íàðîäíûå çàãàäêè";"Ìèõàèë ßñíîâ Ìàðèÿ Ñóòÿãèíà";"2018";"6+";"Íèãìà";"Êíèãà ãîäà";"Äåòÿì";"2391862785";
"280";"2021";"Ø¸ë êîò¸íîê ïî òðîïèíêå. 25 ôðàíöóçñêèõ íàðîäíûõ ñ÷èòàëîê è ïîòåøåê";"Ìèõàèë ßñíîâ Âèêòîðèÿ Ïîïîâà";"2018";"0+";"Íèãìà";"Êíèãà ãîäà";"Äåòÿì";"2391862801";
"281";"2021";"Âîéíà è ìèð â îòäåëüíî âçÿòîé øêîëå: Ðîìàí-áóðèìå";"Êîëëåêòèâ àâòîðîâ";"2021";"16+";"ÀÑÒ";"Êíèãà ãîäà";"Ïîêîëåíèå 3";"2391862812";
"282";"2021";"Åìåëèíî îçåðî";"Þðèé Ðÿøåíöåâ";"2020";"0+";"Îðåíáóðãñêîå êíèæíîå èçäàòåëüñòâî èìåíè Ã.Ï. Äîíêîâöåâà";"Êíèãà ãîäà";"Ïîýçèÿ ãîäà";"2391862823";
"283";"2021";"Ëèöåé 2021. Ïÿòûé âûïóñê";"Êîëëåêòèâ àâòîðîâ";"2021";"18+";"ÀÑÒ";"Ëèöåé";"Ñáîðíèê ïðîèçâåäåíèé ëàóðåàòîâ";"2391862834";
"284";"2021";"Óäàð ñêîðïèîíà";"Àííà Çåíüêîâà";"2021";"12+";"Êîìïàñ Ãèä";"Ìåæäóíàðîäíàÿ äåòñêàÿ ëèòåðàòóðíàÿ ïðåìèÿ èì. Â. Êðàïèâèíà";"Âûáîð Ëèòåðàòóðíîãî ñîâåòà";"2391862855";
"285";"2021";"Ïîêðîâ-17";"Àëåêñàíäð Ïåëåâèí";"2021";"18+";"Ãîðîäåö";"Íàöèîíàëüíûé áåñòñåëëåð";"Ëàóðåàò";"2391862869";
"286";"2021";"Êîíåö ñâåòà, ìîÿ ëþáîâü";"Àëëà Ãîðáóíîâà";"2020";"18+";"ÍËÎ";"ÍÎÑ";"Ãðàí-ïðè";"2391862883";
"287";"2021";"Ñåäüìàÿ ùåëî÷ü: òåêñòû è ñóäüáû áëîêàäíûõ ïîýòîâ";"Ïîëèíà Áàðñêîâà";"2020";"16+";"Èçä-âî Èâàíà Ëèìáàõà";"ÍÎÑ";"Ãðàí-ïðè";"2391862896";
"288";"2021";"Òåòðàäè 1933-1942. Â 2-õ òîìàõ";"Ñèìîíà Âåéëü";"2016";"0+";"Èçä-âî Èâàíà Ëèìáàõà";"Ïðåìèÿ Àëåêñàíäðà Ïÿòèãîðñêîãî";"Øîðò-ëèñò";"2391862914";
"289";"2021";"Âîçìóùåíèå çíàêà. Êóëüòóðà ïðîòèâ òðàíñöåíäåíòíîãî (Common place)";"Åëåíà Ïåòðîâñêàÿ";"2019";"0+";"Ìåäëåííûå êíèãè (ÊÑ)";"Ïðåìèÿ Àëåêñàíäðà Ïÿòèãîðñêîãî";"Øîðò-ëèñò";"2391862927";
